USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.1  43952 17316 ?        Ss   Apr05   0:05 /usr/lib/systemd/systemd --switched-root --system --deserialize=60 rhgb
chrony      1234  0.0  0.0  86424  6800 ?        Ss   Apr05   0:00 /usr/sbin/chronyd -n -F 2
root        1238  0.0  0.0 303040  5908 ?        SLsl Apr05   0:00 /usr/libexec/low-memory-monitor
root        1239  0.0  0.0   3208  2164 ?        Ss   Apr05   0:00 /usr/sbin/mcelog --daemon --foreground
root        1240  0.0  0.0 305752  7956 ?        Ssl  Apr05   0:12 /usr/bin/nvidia-powerd
polkitd     1241  0.0  0.0 385628 14368 ?        Ssl  Apr05   0:04 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
rtkit       1242  0.0  0.0  21728  3440 ?        SNsl Apr05   0:00 /usr/libexec/rtkit-daemon
root        1245  0.0  0.0   9684  6116 ?        Ss   Apr05   0:00 /usr/bin/smartd -n -q never --capabilities=mail
root        1246  0.0  0.0 534236  8944 ?        Ssl  Apr05   0:00 /usr/libexec/accounts-daemon
root        1247  0.0  0.0 531576  7356 ?        Ssl  Apr05   0:00 /usr/libexec/switcheroo-control
root        1250  0.0  0.0  17456  8812 ?        Ss   Apr05   0:00 /usr/lib/systemd/systemd-homed
root        1252  0.0  0.0  20180 11856 ?        Ss   Apr05   0:04 /usr/lib/systemd/systemd-logind
root        1253  0.0  0.0  17244  8308 ?        Ss   Apr05   0:01 /usr/lib/systemd/systemd-machined
root        1254  0.0  0.0 610668 10032 ?        Ssl  Apr05   0:03 /usr/bin/thermald --systemd --dbus-enable --adaptive
root        1255  0.0  0.0 617492 15276 ?        Ssl  Apr05   0:00 /usr/libexec/udisks2/udisksd
root        1262  0.0  0.0 543308 12756 ?        Ssl  Apr05   0:04 /usr/libexec/upowerd
root        1264  0.1  0.1 4305568 23364 ?       Ssl  Apr05   1:24 /bin/warp-svc
avahi       1281  0.0  0.0   6448  1628 ?        S    Apr05   0:00 avahi-daemon: chroot helper
root        1306  0.0  0.0      0     0 ?        S    Apr05   0:00 [psimon]
root        1307  0.0  0.0      0     0 ?        S    Apr05   0:00 [psimon]
root        1313  0.0  0.0   4924  3332 ?        SNs  Apr05   0:00 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
